EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
squeeze (VT)	apretar	presser, serrer	apertar	verb	$ʃimueri$ (apretar) {Melendez 2011}	$-hípoa$ (espremer) {Ramirez 2001}	$tʃitʃika$ (espremer) {Oliveira 93}	<ka:ka> $ka:ka$ (espremer) {Epps}	<imulìacawa> $imulìakawa$ (apertar) {Epps}, $nukàbadà:ka$ (apretar) {Klumpp 1995}	$aʔnan̟ú$ (apertar) {Epps}		$piɾa$ (espremer) {Aikhenvald 2012}	$ahɲoʔokahe$ (apertar) {H&R 1992}
squeeze to juice, express a liquid (VT)	exprimir	presser	apertar	verb	$irikederi$ (exprimir) {Melendez 2011}	$-hípoa$ (espremer) {Ramirez 2001}	$tʃitʃika$ (espremer) {Oliveira 93}	<ka:ka> $ka:ka$ (espremer) {Epps}	$nupisùaka$ (exprimir) {Klumpp 1995}	$-aʔnanú$ (exprimir) {Allin 1979}	$písu$ $písu$ (espremer) {Epps}	$piɾa$ (espremer) {Aikhenvald 2012}	$ahɲo?okahe$ (apertar) {H&R 1992}
squirrel	ardilla	écureuil	esquilo	animal	$ma:tiri$ (squirrel) {Melendez 2011}	$hitsheni$ (esquilo) {Ramirez 2001}, $ma:deɻe$ (esquilo) {Ramirez 2001}		<máane-ri> $máane-ɾi$ (esquilo) {Epps}, <hítʃhe> $hítʃhe$ (esquilo) {Epps}	<matèri> $matèri$ (esquilo) {Epps}	$meníigí$ (esquilo) {Epps}			$ihjé$ (esquilo) {Epps}
squirrel monkey, saimiri	(mono) fraile, frailecito, Saimiri	singe-écureuil, Saïmiri	macaco-de-cheiro	animal		$pi:tipít̺i$ (macaco-de-cheiro) {Ramirez 2001}							
stab	picar, puñalar	piquer	apunhalar	verb	$juukeri$ (picar) {Melendez 2011}, $jukederi$ (picar) {Melendez 2011}	$-t̺óɺhoa$ (apunhalar) {Ramirez 2001}			<sutàaca> $sutàaka$ (apunhalar) {Epps}	$vée-$ (apunhalar) {Allin 1979}			$ahmaʔakahe$ (apunhalar) {Schauer 2005}
star	estrella	étoile	estrela	other	$sa:li:$ (estrella) {Melendez 2011}	$hiwíɻhi$ (estrela) {Ramirez 2001}	$ʰwinadi$ (estrela) {Oliveira 93}	<wirínhu> $wirínhu$ (estrela) {Epps}	<dùlupùta> $dùlupùta$ (estrela) {Epps}	$hivíigí$ (estrela) {Epps}	$walipéɾa$ (estrela) {Aikhenvald 2001}	$wiminaɾi$ (estrela) {Aikhenvald 2012}	$iwihɾí$ (estrela) {Epps}
steal	robar	voler	roubar	verb	$nedueri$ (robar) {Melendez 2011}	$-ɲaito$ (roubar) {Ramirez 2001}			<yéedùa> $jéedùa$ (roubar) {Epps}	$haáma-khú$ (roubar) {Allin 1979}	$dí:tu$ (roubar) {Aikhenvald 2001}	$mutiɾeta$ (roubar) {Aikhenvald 2012}	$ataʔakahe$ (roubar) {Epps}
stick	palo, palito	bâton	vara	other		$haikóapo$ (vara) {Ramirez 2001}, $é:mhie$ (vara) {Ramirez 2001}			<àicu> $àiku$ (vara) {Epps}	$aváanaí$ (palito) {Epps}	$heku-pú$ (vara) {Aikhenvald 2001}, $kápe$ (vara) {Aikhenvald 2001}		$aʔawaná$ (vara) {Epps}
stick sth to surface (VT)	apegar	coller	afixar	verb									
stick to (VI)	apegarse	coller, s'attacher	afixar	verb									$iʔiɾakaho$ (apegarse) {Schauer 2005}
stinɡray	raya	raie	arraia	animal	$ijaduli$ (raya) {Melendez 2011}	$ɲámaɻo$ (arraia) {Ramirez 2001}		<jatúrí< $jatúrí$ (arraia) {Epps}	<itàanàa machàníiri> $itàanàa matʃàní:ɾi$ (arraia) {Epps}	$bahí$ (arraia) {Seifart 2011}	$hayámaɾu$ (arraia) {Aikhenvald 2001}		$nukumi$ (arraia) {Epps}, $hiɲa iwaká$ (arraia) {Epps}
stir, twirl stick by rubbing palms together, as in starting fire or stirring/whipping a liquid	batir, rodar utensilio	battre, fouetter	girar, rodar	verb	$kutueri$ (batir) {Melendez 2011}	$-kapokónhi$ (girar) {Ramirez 2001}			$ikàpukùakaβa$ (girar) {Klumpp 1995}, $ibà:tá:níkaβa> (girar) {Klumpp 1995}, $italíakaβa$ (rodar) {Klumpp 1995}		$di-kapúku$ (virar, girar) {Aikhenvald 2001}	$tsipuɾyata$ (virar) {Aikhenvald 2012}	
stone	piedra	pierre	pedra	other	$i:ba$ (piedra) {Melendez 2011}	$hi:pada$ (pedra) {Ramirez 2001}	$tiba$ (pedra) {Oliveira 93}	<híipa> $híipa$ (pedra) {Epps}	<íba> $íba$ (pedra) {Epps}	$vííʃiʔóú$ (pedra) {Allin 1979}	$hipá-da$ (pedra) {Aikhenvald 2001}	$ipa$ (pedra) {Aikhenvald 2012}, $i:pa$ (pedra) {Aikhenvald 2012}	$hipa$ (pedra) {Epps}
stop (VI)	parar, cesar	s'arrêter	parar	verb	$barueriu$ (pararse) {Melendez 2011}	$ha:ma:$ (parar) {Ramirez 2001}, $-a:da$ (parar) {Ramirez 2001}					$di-whawéta$ (parar) {Aikhenvald 2001}	$manuta$ (parar) {Aikhenvald 2012}, $ma:nutata$ (parar) {Aikhenvald 2012}	$táɾaʔatakahe$ (parar) {Schauer 2005}
straight (of path)	derecho	droit	direito	other	$saikakitehe$ (derecha) {Melendez 2011}	$madzakani$ (reto) {Ramirez 2001}	$yawatʃehe$ (direito) {Oliveira 93}		$maʧakàníiri$ (direito) {H&R 1992}		$mayákani$ (direito) {Aikhenvald 2001}		
strain liquid (VT)	colar (cernir)	filtrer	coar, filtrar	verb		$-dze:ne:ta$ (filtrar) {Ramirez 2001}			$nutʃúaka$ (cernir) {Klumpp 1995}	$-iʔtso$ (colar) {Allin 1979}			$tutúwaʔakahe$ (colar) {Schauer 2005}
stream	quebrada, arroyo (riachuelo)	ruisseau	angra, córrego	other		$taɻaka:$ (correnteza (ter)) {Ramirez 2001}			$únibàa$ (córrego) {H&R 1992}	$teéʔiʒáʔ$ (córrego) {Allin1979}			$inaʔatána$ (córrego) {H&R 1992}
stretch out, spread out, of 2D object, VT	tender	étendre	alongar, esticar	verb		$-pe:dza$ (esticar) {Ramirez 2001}						$muta$ (esticar) {Aikhenvald 2012}	
stretch, extend body part (VT)	estirar	étirer	espichar-se, esticar-se	verb							$di-apitá$ (esticar, espichar) {Aikhenvald 2001}		$nakahe taʔaɾaɾe ɲaʔakana: taʔaɾahi$ (esticar alguma coisa) {Schauer 2005}
suck	chupar	sucer	chupar	verb	$ʃiʃeri$ (chupar) {Melendez 2011}	$-péɻo$ (chupar) {Ramirez 2001}, $-tsó:tso$ (chupar) {Ramirez 2001}		<t̪ut̪u> $t̪ut̪u$ (chupar) {Epps}	<isidùaca> $isidùaka$ (chupar) {Epps}, <bèrùaca> $isidùaka$ (chupar) {Epps}, <sùsùaca> $sùsùaka$ (chupar) {Epps}	$sooʔ-kʰú$ (chupar) {Epps}	$di-sisé$ (chupar) {Aikhenvald 2001}		$iʔiɾakahe$ (chupaɾ) {Epps}
sugar cane	caña de azucar	canne à sucre	cana de açúcar	other	$situwa$ (caña) {Melendez 2011}	$má:pa$ (cana) {Ramirez 2001}			<bèsuè> $bèsuè$ (cana de açúcar) {Epps}	$iítsʰidᶚi-hú$ (cana de açúcar) {Epps}	$sído$ (cana) {Aikhenvald 2001}, $sídu$ (cana) {Aikhenvald 2001}, $sidua$ (cana) {Aikhenvald 2001}		$kana$ (sugar cane) {Epps}
sun	sol	soleil	sol	other	$kaiwia$ (sol) {Melendez 2011}	$kámoi$ (sol) {Ramirez 2001}	$kamuhũ$ (sol) {Oliveira 93}	<abe> $abe$ (sol) {Epps} <eri> $eri$ (sol) {Epps}	<èeri> $èeri$ (sol) {Epps}	$háʔí$ (sol) {Epps}	$ké:ɾi$ (sol, lua) {Aikhenvald 2001}, $kéɾi$ (sol, lua) {Aikhenvald 2001}, $ehkwapíte kéɾi$ (sol) {Aikhenvald 2001}	$amusi$ (sol) {Aikhenvald 2012}	$kamú$ (sol) {Epps}
swallow	tragar	avaler	engolir	verb		$-maɻé:ta$ (engolir) {Ramirez 2001}	$kʰurada$ (engolir) {Oliveira 93}			$-(ʔ)péno$ (engolir) {Allin 1979}	$di-maɾé$ (engolir) {Aikhenvald 2001}, $di-maɾéta$ (engolir) {Aikhenvald 2001}	$uɾeta$ (engolir) {Aikhenvald 2012}	$ahmíloʔokahe$ (engolir) {Schauer 2005}
sweat	sudar	transpirer	suor	other		$-i:ɲápe$ (suor) {Ramirez 2001}		<t̪íjape> $t̪íjape$ (suar) {Epps}	<casìabèdaca> $kasìabèdaka$ (suar) {Epps}	$-heʒápenú$ (suor) {Allin 1979}			
sweep	barrer	balayer	varrer	verb	$hitʃuderi$ (barrer) {Melendez 2011}	$-mot̺o$ (varrer) {Ramirez 2001}			$nutunuáka$ (varrer) {Klumpp 1995}	$botoʔ-khú$ (varrer) {Allin 1979}	$di-píyu$ (varrer) {Aikhenvald 2001}		
sweet potato	camote	patate douce	batata doce	other		$kaɺíɻi$ (batata doce) {Ramirez 2001}			$kalìri$ (batata doce) {H&R 1992}	$kaniídeú$ (batata-doce) {Epps}			$kuwahú paihí$ (batata doce) {H&ɾ 1992}
swell	hincharse	gonfler, enfler	inchar	verb		$-í:xa(wa)$ (inchar) {Ramirez 2001}		<hena:ka> $hena:ka$ (inchar) {Epps}	<imulacàacawa> $imulakàakawa$ (inchar) {Epps}, $jé:nakaβa$ (hincharse) {Klumpp 1995}	$ɸóo-jú$ (inchar) {Epps}	$di-hyá$ (inchar) {Aikhenvald 2001}	$yaɾa$ (inchar) {Aikhenvald 2012}	$henátakaho$ (inchar) {Epps}
swim	nadar	nager	nadar	verb	$jamareriu$ (nader) {Melendez 2011}	$-a:xa:$ (nadar) {Ramirez 2001}, $-a:nhi$ (nadar) {Ramirez 2001}	$kumi$ (nadar) {Oliveira 93}	<awápa> $awápa$ (nadar) {Epps}	<màlacawa> $màlakawa$ (nadar) {Epps}	$oʔvápú$ (nadar) {Epps}	$di-áhya$ (nadar) {Aikhenvald 2001}	$nita$ (nadar) {Aikhenvald 2012}, $uɾuta$ (nadar) {Aikhenvald 2012}	$iʔiwapakahe$ (nadar) {Epps}
tail	rabo, cola	queue	cauda, rabo	other	$i:ʃiʃi$ (cola) {Melendez 2011}	$-i:t̺ípi$ (cauda) {Ramirez 2001}	$hibi$ (cauda) {Oliveira 93}	<t̪ipi> $t̪ipi$ (cauda) {Epps} <muuku> $muuku$ (cauda) {Epps}	<yàapusài> $jàapusài$ (cauda) {Epps}, $isìpi$ (cauda) {H&R 1992}	$tsʰíipí$ (cauda) {Epps}	$di-tʃíma$ $di-číma$ (cauda) {Epps}, $di-sipí$ $di-sipí$ (cauda) {Epps}	$piʃi$ (rabo) {Aikhenvald 2012}	$hipihi$ (cauda) {Epps}
take (VT)	llevar	prendre	transportar, levar	verb	$te:ri$ (llevar) {Melendez 2011}	$-a:xé:ta$ (transportar) {Ramirez 2001}	$kʰabi$ (levar) {Oliveira 93}		$nuèpunídaka$ (llevar) {Klumpp 1995}, $nunàpika$ (llevar) {Klumpp 1995}, $nupùatalìkuka> (llevar) {Klumpp 1995}, $nutéka$ (llevar) {Klumpp 1995}, $nutéka$ (transportar) {Klumpp 1995}	$-kopú$ (transportar) {Allin 1979}	$dhíta$ (levar) {Aikhenvald 2001}		$iʔimatákahe$ (levar) {Schauer 2005}
tamandua	shihui, oso melero, oso hormiguero Amazónico	tamandua	tamanduá	animal		$a:te$ (tamanduá-colete) {Ramirez 2001}			$mutùsi$ (oso hormiguero) {Klumpp 1995}	$piígí$ (tamanduá) {Allin 1979}		$ʃiweɾi$ (tamanduá) {Aikhenvald 2012}	$haɾu$ (tamanduá) {Schauer 2005}
tamarin, emperor	pichico	tamarin empereur	pichico, sagui-imperador	animal									
tambo, temporary palm shelter	tambo		abrigo, tambo	other						$núúhigú$ (tambo) {Allin 1979}			
tapir	sachavaca, danta	tapir	tapir, anta	other	$e:ma$ (danta) {Melendez 2011}	$hé:ma$ (anta) {Ramirez 2001}	$tema$ (anta) {Oliveira 93}	<héema> (anta) {hr01}, <ʔeema> (anta) {dp91}	<é(e)ma> $é(e)ma$ (anta) {Epps}	$aóogí$ (anta) {Epps}	$héma$ (anta) {Aikhenvald 2001}	$e:ma$ (anta) {Aikhenvald 2012}	$héma$ (tapir) {Epps}
tayra	humayro, irará, eirá, tayra, cabeza de mate, cabeza de viejo, sanjool, hurón mayor, eira barbara, manco	tayra, eira barbara	irara	animal	$tʃuukui$ (manco) {Melendez 2011}	$dzó:we$ (irara) {Ramirez 2001}							
teach	enseñar	apprendre, enseigner	ensinar	verb	$e:wideri$ (enseñar) {Melendez 2011}	$-kadze:kata$ (ensinar) {Ramirez 2001}			$nuéβáidakaɺési$ (enseñar) {Klumpp 1995}	$-kéʔtsú$ (ensinar) {Alli 1979}	$di-buetá$ (ensinar) {Aikhenvald 2001}	$atʃeta$ (ensinar) {Aikhenvald 2012}	$hewíɲaʔatakahe$ (ensinar) {Schauer 2005}
tear, break flexible obj, VT	desgarrar, rasgar, romper	déchirer	rasgar, romper	verb	$ipakieri$ (romper) {Melendez 2011}	$-tshawa$ (rasgar) {Ramirez 2001}			$nu-kakanáka$ (desgarrar) {Klumpp 1995}	$khováʔ-khú$ (rasgar) {Allin 1979}	$di-písya$ (rasgar) {Aikhenvald 2001}, $di-sáwa$ (rasgar) {Aikhenvald 2001}	$beɾika$ (rasgar) {Aikhenvald 2012}, $yu(w)aka$ (rasgar) {Aikhenvald 2012}	$hiyoʔokahe$ (rasgar) {Schauer 2005}
tear, break, of sth flexible, VI	romperse (algo flexible)	se déchirer	rasgar-se, romper-se	verb		$tshiome$ (rasgar-se) {Ramirez 2001}			$nukakanáka$ (rasgar) {Klumpp 1995}				$hiyoʔokaho$ (romper-se) {Schauer 2005}
tell, tell story, warn, teach	contar, avisar	raconter, prévenir, enseigner	contar, avisar	verb	$hutaderi$ (contar) {Melendez 2011}, $i:weri$ (contar) {Melendez 2011}	$-kaite$ (contar) {Ramirez 2001}, $-niwe:ta$ (contar) {Ramirez 2001}	$dina$ (contar) {Oliveira 93}		$nukàɺidaka$ (avisar) {Klumpp 1995}, $nuputà:ka$ (contar) {Klumpp 1995}, $ibakuíkaβa$ (romperse) {Klumpp 1995}	$-kéʔtsú$ (avisar) {Allin 1979}	$di-kalité$ (avisar, contar) {Aikhenvald 2001}	$tʃina$ (contar) {Aikhenvald 2012}	$yuku iʔimakana: iʔimakahe$ (contar, narrar) {Schauer 2005}
termite	comejen	termite	cupim	insect	$kamara$ (comejen) {Melendez 2011}	$kamáɻa$ (cupim) {Ramirez 2001}, $má:ɻo$ (cupim) {Ramirez 2001}		<kámara> $kámaɾa$ (cupim) {Epps}	<càmala> $kàmala$ (cupim) {Epps}	$kamaádú$ (cupim) {Epps}	$kamáɾa$ (cupim) {Aikhenvald 2001}, $kamaɾáda$ (cupim) {Aikhenvald 2001}, $á:maɾu$ (cupim) {Aikhenvald 2001}, $pásu$ (cupim) {Aikhenvald 2001}, $wakída$ (cupim) {Aikhenvald 2001}, $yáwi c̃ipoléda$ (cupim) {Aikhenvald 2001}, $yuɾíyuɾi$ (cupim) {Aikhenvald 2001}	$uwita$ (cupim) {Aikhenvald 2012}	$kamaɾa$ (cupim) {Epps}, $kaɾí$ (cupim) {Epps}, $jamutʃi$ (cupim) {Epps}
testicles	testículos	testicules	testículos	body part	$e:wiʃi$ (testiculo) {Melendez 2011}	$ka:ɺé:whe$ (testículos) {Ramirez 2001}					$di-sipéda$ (testículos) {Aikhenvald 2001}		
that	ese	ce, cela, ça	que	other	$liara$ (ese) {Melendez 2011}, $ruara$(esa) {Melendez 2011}, na:ra (pl.) {Melendez 2011}	$ɺhieɻa(ha)$ (este) {Ramirez 2001}	$asãha$ (aquele) {Oliveira 93}	<ja-ta> $ja-ta$ (esse) {Epps} <ja-ra> $ja-ra$ (esse) {Epps}	<yáara> $já:ɾa$ (esse) {Epps}	$aí$ (esse) {Epps}	$hane$ (esse) {Epps}		$maɾí$ (esse) {Epps}
thatch a roof	techar	couvrir de chaume	telhar	verb		$pant̺i iphe$ (telhado) {Ramirez 2001}							$kaɾu$ (telhado) {Epps}
thatch palm	irapay, “hoja del techo”	chaume	telhado de colmo, sapé, palha de palmeira	plant				<t̪íija> $t̪íija$ (caraná) {Epps}		$kaádó$ $kaádó$ (canará) {Epps}	$jépu$ $yépu$ (telhado) {Epps}, $pune-pína$ $pune-pína$ (telhado) {Epps}		
there	allá	là, là-bas	lá, ali, aí	other	$aʔa$ (alla) {Melendez 2011}, $ne:ne:$ (alla) {Melendez 2011}, $tʃaleni$ (alla) {Melendez 2011}, $tʃe$ (alla) {Melendez 2011}, $tʃeʔe$ (alla) {Melendez 2011}, $tʃera$ (alla) {Melendez 2011}	$a:taha$ (lá) {Ramirez 2001}, $a:$ (lá) {Ramirez 2001}, $ja:taha$ (lá) {Ramirez 2001}			$aléde$ (lá) {H&R 1992}	$neéhí$ (lá) {Allin 1979}		$neta$ (aí) {Aikhenvald 2012}	$aʔahnaɾe$ (lá) {Schauer 2005}
they	ellos	ils, elles	eles	pro	$naja$ (ellos, ellas) {Melendez 2011}	$nhá:$ (eles) {Ramirez 2001}	$me$ (eles) {Oliveira 93}		<nía> $nía$ (eles) {Epps}	$miʔá$ (eles) {Epps}, $ú$ (eles) {Epps}	$n(a)ha$ $n(a)ha$ (eles) {Epps}	$ni-ya$ (eles) {Aikhenvald 2012}	$neká, ileɾuna: ilé, maɾiɾuna: maɾí$ (eles ou elas) {Schauer 2005}
thick (dimension)	grueso	épais	grosso	other		$hipanída$ (grosso, espesso) {Ramirez 2001}		<matakaka> $matakaka$ (grosso) {Epps}	<cáucuìri> $káukuìri$ (grosso) {Epps}, <ibaniéri> $ibaniéri$ (grosso) {Epps}, <ibaníiri> $ibaníiri$ (grosso) {Epps}	$jíjaagí$ (grosso) {Epps}	$malé-da$ (grosso) {Aikhenvald 2001}, $phanída$ (grosso) {Aikhenvald 2001}		$ɲópoʔohlo$ $ɲópoʔohlo$ (gɾosso) {Epps}
thick, pasty, of liquid	espeso	épais	espesso	other		$hipanída$ (grosso, espesso) {Ramirez 2001}			$baníaka$ (espeso) {Klumpp 1995}		$hedí-peɾi$ (espesso) {Aikhenvald 2001}		$matutʰuni$ (espesso) {Schauer 2005}
thigh	muslo	cuisse	coxa	body part	$huiʃi$ (muslo) {Melendez 2011}	$-kótshi$ (thigh) {Ramirez 2001}			$wa-kuuʧuí$ (músculo) {H&R 1992}	$-íphí$ (coxa) {Allin 1979}		$nutsu$ (coxa) {Aikhenvald 2012}	$kuhyuhi$ (coxa) {Schauer 2005}
think	pensar	penser	pensar	verb.stat		$-wapiɲé:ta$ (pensar) {Ramirez 2001}, $-a:wá:da$ (pensar) {Ramirez 2001}	$kʰina$ (pensar) {Oliveira 93}	<wéʔepi> $wéʔepi$ (pensar) {Epps}	<ínáidacawa> $ínáidakawa$ (pensar) {Epps}, $nuku:tʃuí$ (muslo) {Klumpp 1995}	$-váɸó$ (pensar) {Allin 1979}	$di-ánihta$ (pensar) {Aikhenvald 2001}	$puɾyuta$ (pensar) {Aikhenvald 2012}	$ɾipétʃuwa iʔihnatákana nakahe nakú: iʔihnatákahe$ (pensaɾ) {Schauer 2005}
this	este	ce, ceci, ça	este	other	$liani$ (este) {Melendez 2011} , $ruani$ (esta) {Melendez 2011} , $na:ni$ (pl.) {Melendez 2011}	$Ihíehe$ (este) {Ramirez 2001}	$arihi$ (este) {Oliveira 93}	<do?ó> $do?ó$ (este) {Epps}	<yái> $jái$ (este) {Epps}, <úái> $úái$ (este) {Epps}	$giʔí$ (este) {Epps}, $doʔó$ (este) {Epps}	$hĩ$ $hĩ $ (este) {Epps}		$kele$ (este) {Epps}
thorn	espina	épine	espinho	body part	$tuuwiri$ (espina) {Melendez 2011}	$dó:wiɻi$ (espinho) {Ramirez 2001}			$ituíɾe$ (espina) {Klumpp 1995}, $já:pi$ (espina) {Klumpp 1995}	$novíigí$ (espinha) {Allin 1979}	$dúiɾi$ (espinho) {Aikhenvald 2001}		$luwiɾí$ (espinho) {Schauer 2005}
three	tres	trois	três	num	$matali:$ (tres) {Melendez 2011}, $matalita$ (tres) {Melendez 2011}, $matalikua$ (tres) {Melendez 2011}	$madaɺi-$ (três) {Ramirez 2001}	$kʰirikunama$ (três) {Oliveira 93}		<máisiba> $máisiba$ (três) {Epps}	$migaakú$ (três) {Epps}, $sagúʔ$ (três) {Epps}	$madalí-da$ (três) {Aikhenvald 2001}		$wehi kele$ (tɾês) {Epps}
throw (sth through the air, to another person, NOT throw away)	tirar, echar	jeter, lancer	atirar	verb	$waruederi$ (echar) {Melendez 2011}	$-kakóɺha$ (atirar) {Ramirez 2001}	$ʰnuka$ (atirar) {Oliveira 93}	<ka-wá> $ka-wá$ (atirar) {Epps}	<ucaca> $ukaka$ (atirar) {Epps}	$-píʔko$ (atirar) {Allin 1979}	$di-sitá$ (atirar) {Aikhenvald 2001}, $pé$ $pé$ (atirar) {Epps}		$kupakahe$ (atirar) {Epps}, $kaʔakahe$ (atirar) {Epps}
thunder (V)	tronar	tonner, gronder	troar, trovejar	verb	$turneriu$ (tronar) {Melendez 2011}	$koɺoo$ (trovejar) {Ramirez 2001}			$idunúakaβa$ (tronar) {Klumpp 1995}		$di-enéta$ (trovejar) {Aikhenvald 2001}		$pitʃaní mehé$ (trovão) {Epps}
thunder spirit (N)	trueno	tonnerre	trovão	other		$é:no$ (trovão) {Ramirez 2001}			<énu> $énu$ (trovão) {Epps}	$eénó$ (trovão) {Epps}	$énu$ (trovão) {Aikhenvald 2001}	$enu$ (trovão) {Aikhenvald 2012}	$heʔetʃú puɾaʔakó$ (trovão) {Schauer 2005}
tick	garrapata	tique	carrapato	animal	$maujanai$ (garrapata) {Melendez 2011}	$kó:paɺi$ (carrapato) {Ramirez 2001}		<kúpa-ri> $kúpa-ri$ (carrapato) {Epps}	<cubàli> $kubàli$ (carrapato) {Epps}	$kopáagí$ (carrapato) {Epps}	$kasámaɾi$ (tipo de carrapato) {Aikhenvald 2001}, $mayhéne$ (carrapato pequeno) {Aikhenvald 2001}		$kúpá-ɾhu$ (carrapato) {Epps}, $hemakupahu$ (carrapato) {Epps}, $puhuta$ (carrapato) {Epps}, $muʔutuhú$ (carrapato) {Epps}
tie (general)	amarrar, atar	lier	atar, amarrar, laçar	verb	$bahideri$ (amarrar) {Melendez 2011}, $bahieri$ (atar) {Melendez 2011}	$-ooweta$ (atar, amarrar) {Ramirez 2001}, $-páɻa:$ (atar, amarrar) {Ramirez 2001}	$wahada$ (amarrar) {Oliveira 93}		<bapìaca> $bapìaka$ (atar) {Epps}	$híʔpó$ (amarrar) {Allin 1979}, $-hiponú$ (amarrar) {Allin 1979}		$aɾita$ (amarrar) {Aikhenvald 2012}	$pilaʔakahe$ (amarrar algo dando voltas) {Schauer 2005}
tie cord to itself, make loop	enrollar soga	enrouler	atar	verb		$-ooweta$ (atar, amarrar) {Ramirez 2001}, $-páɻa:$ (atar, amarrar) {Ramirez 2001}			$nuβaβanà:ka$ (enrollar) {Klumpp 1995}	$vigi-khú$ (atar) {Allin 1979}	$di-tútu$ (amarrar) {Aikhenvald 2001}, $di-panída$ (amarrar) {Aikhenvald 2001}		$ɲepoʔotákahe$ (atar algo em si mesmo) {Schauer 2005}
tie sth up (not w loop), bind sth with cord	amarrar	amarrer	amarrar	verb	$bahideri$ (amarrar) {Melendez 2011}	$-ooweta$ (atar, amarrar) {Ramirez 2001}, $-páɻa:$ (atar, amarrar) {Ramirez 2001}					$di-tútu$ (amarrar) {Aikhenvald 2001}, $di-panída$ (amarrar) {Aikhenvald 2001}		$hepoʔokahe$ (amarrar) {Epps}
to, for the benefit of, for	a, en beneficio de, para	pour	para o benefício de, por, para	ad.ben		$-ɺhio$ (para) {Ramirez 2001}							$penahe$ (para) {Schauer 2005}
tobacco	tabaco	tabac	tabaco, fumo	other	$tʃema$ (tabaco) {Melendez 2011}	$-t̺ítoa$ (fumar) {Ramirez 2001}		<tʃéema> $tʃéema$ (tabaco) {Epps}	<tʃéma> $tʃéma$ (tabaco) {Epps}	$niítsíʔó$ (tabaco) {Epps}	$yéma$ (tabaco) {Aikhenvald 2001}		$litʃi$ (tabaco) {Epps}
toe	dedo de pie	orteille	dedo do pé	body part		$-hi:phewína$ (dedo do pé) {Ramirez 2001}				$-hiiʔpágú$ (dedo do pé) {Allin 1979}		$nutʃiabu$ (dedo do pé) {Aikhenvald 2012}	
toenail	uña de pie	ongle de pied	garra pé	body part	$jubawiaʃi$ (uña) {Melendez 2011}	$-tsóta$ (unha) {Ramirez 2001}	$ʰnaba$ (unha) {Oliveira 93}	<u'upa> $uʔupa$ (unha) {Epps}	$nùabàɺi jú:ba$ (uña del pie) {Klumpp 1995}	$hiʔtáví$ (unha) {Epps}		$nutʃúrawi$ (unha) {Aikhenvald 2012}	$huʔupahi$ (uña) {Schauer 2005}
tomorrow	mañana	demain	amanhã	temporal adv	$kahohtʃa$ (mañana) {Melendez 2011}	$thé:wa$ (amanhã) {Ramirez 2001}					$désu$ (amanhã) {Aikhenvald 2001}	$yawaya$ (amanhã) {Aikhenvald 2012}	$apakala$ (mañana) {Schauer 2005}
tongue	lengua	langue	língua	body part	$inane:ʃi$ (lengue de la boca) {Melendez 2011}	$-e:nene$ (língua) {Ramirez 2001}	$nene$ (língua) {Oliveira 93}	<nenipá> $nenipá$ (língua) {Epps}	<nène> $nène$ (língua) {Epps}, $nu-tà:kái$ (língua) {Klumpp 1995}	$eʔhéepé$ (língua) {Epps}	$di-énene$ (língua) {Aikhenvald 2001}	$nutáɾe$ (língua) {Aikhenvald 2012}, $yuʃana$ (língua) {Aikhenvald 2012}	$lenahi$ (língua) {Epps}
tooth	diente	tooth	dente	body part	$e:ʃi$ (diente) {Melendez 2011}	$-e:tsha$ (dente) {Ramirez 2001}, $-dzawieɻe$ (dente) {Ramirez 2001}, $-e:$ (dente) {Ramirez 2001}, $-kako$ (dente) {Ramirez 2001}, $-ɺikoe$ (dente) {Ramirez 2001}	$ahai$ (dente) {Oliveira 93}	<ʔía> $ʔía$ (dente) {Epps}	<yèi> $jèi$ (dente) {Epps}	$oné$ (dente) {Epps}	$di-é$ (dente) {Aikhenvald 2001}, $di-é-da$ (dente) {Aikhenvald 2001}	$naʃi$ (dente) {Aikhenvald 2012}	$aihí$ (dente) {Epps}
top	cima	haut	topo	other		$-poɺiko$ (topo) {Ramirez 2001}	$tibu$ (topo) {Oliveira 93}			$hiípó$ (em cima) {Epps}		$minaʃi$ (em cima) {Aikhenvald 2012}, $petʃi$ (em cima) {Aikhenvald 2012}	$tʃa$ (em cima) {Schauer 2005}
